No.,Compound ID,SMILES,Assay ID,LogP app
114,CHEMBL563804,"C(=O)(c1c(Cl)cc(SCCCCCC)c(Cl)c1)CC[NH+]1CCN(C(=O)C)CC1	
",CHEMBL1034536,-3
115,CHEMBL563816,"C(=O)(c1c(Cl)cc(S(=O)(=O)CCCCCC)cc1Cl)CC[NH+]1CCOCC1	
",CHEMBL1034536,-3.33
116,CHEMBL563871,"C(=O)(c1c(Cl)cc(OCCCCCC)cc1Cl)CC[NH+]1CCN(S(=O)(=O)CC)CC1	
",CHEMBL1034536,-3.07
117,CHEMBL563943,"C(=O)(c1c(Cl)cc(S(=O)(=O)CCCCCC)cc1Cl)CC[N@H+]1[C](C)C1	
",CHEMBL1034536,-3.01
118,CHEMBL564112,"N1C(=O)C[N@H+](CCC(=O)c2c(Cl)cc(S(=O)(=O)CCCCCC)cc2)CC1	
",CHEMBL1034536,-3.62
119,CHEMBL564464,"C(=O)(c1c(Cl)cc(S(=O)(=O)CCCCCC)cc1Cl)CC[N@H+]1CC(=O)NCC1	
",CHEMBL1034536,-3.37
120,CHEMBL565150,"C(=O)(c1c(I)cc(OCCCCCC)cc1)CC[NH+](C)C	
",CHEMBL1034536,-3.57
121,CHEMBL569845,"N1C(=O)C[N@H+](CCC(=O)c2c(Cl)c(Cl)c(SCCCCCC)cc2)CC1	
",CHEMBL1034536,-2.8
122,CHEMBL570307,"C(=O)(c1ccc(OCCCCCC)cc1)[C](C)C[NH+](C)C	
",CHEMBL1034536,-2.87
123,CHEMBL570776,"C(=O)(c1c(Cl)cc(OCCCCCC)cc1)CC[N@H+]1[C](C)C1	
",CHEMBL1034536,-3.06
124,CHEMBL571226,"N1C(=O)C[N@@H+](CCC(=O)c2c(Cl)cc(OCCCCCC)cc2Cl)CC1	
",CHEMBL1034536,-2.86
125,CHEMBL572341,"C(=O)(c1c(Cl)cc(S(=O)(=O)CCCCCC)c(Cl)c1)CC[N@H+]1[C](C)C1	
",CHEMBL1034536,-3.59
126,CHEMBL572342,"C(=O)(c1c(C)cc(SCCCCCC)cc1C)CC[N@H+]1[C](C)C1	
",CHEMBL1034536,-3.11
127,CHEMBL572348,"C(=O)(c1cc(Cl)c(OCCCCCC)cc1)CC[NH+](C)C	
",CHEMBL1034536,-2.99
128,CHEMBL1294,"[N@@H+]12[C](C[C](CC1)[C](C=C)C2)[C](O)c1c2c(ccc(OC)c2)ncc1	
",CHEMBL3430218,-5.48
129,CHEMBL24,"C(=O)(Cc1ccc(cc1)OC[C](O)C[NH2+][C](C)C)N	
",CHEMBL3430218,-7.52
130,CHEMBL3221410,"N1[C](C[C](C)C)C(=O)N2[C](C(=O)N(C)[C](Cc3ccc(O)cc3)C(=O)N[C](C[C](C)C)C(=O)N(C)[C](C[C](C)C)C(=O)N(C)[C](C[C](C)C)C1=O)CCC2	
",CHEMBL3430218,-6.24
131,CHEMBL3342578,CC(C)C[C@@H]1NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H]3CCCN3C(=O)[C@H](CC(C)C)NC1=O,CHEMBL3430218,-5.91
132,CHEMBL3403637,CC(C)C[C@@H]1NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H]3CCCN3C(=O)[C@H](CC(C)C)NC1=O,CHEMBL3430218,-6.23
133,CHEMBL3425512,"[C]1(CCCC[NH3+])NC(=O)[C](NC(=O)[C](NC(=O)[C]2CCCN2C(=O)[C](NC(=O)[C]([C](O)C)NC1=O)Cc1ccccc1)Cc1ccccc1)Cc1c[nH]c2c1cccc2	
",CHEMBL3430218,-7.05
134,CHEMBL3425617,"[C]1(C[C](C)C)N(C)C(=O)[C](N(C)C(=O)[C](NC(=O)[C]2CCCN2C(=O)[C](NC(=O)[C](C[C](C)C)NC1=O)C[C](C)C)Cc1ccc(O)cc1)C[C](C)C	
",CHEMBL3430218,-6.17
135,CHEMBL3425618,CC(C)C[C@@H]1NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](CC(C)C)N(C)C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H]3CCCN3C(=O)[C@H](CC(C)C)N(C)C1=O,CHEMBL3430218,-5.64
136,CHEMBL3425619,"[C]1(C[C](C)C)NC(=O)[C](NC(=O)[C](NC(=O)[C]2CCCN2C(=O)[C](NC(=O)[C](C[C](C)C)NC1=O)C[C](C)C)Cc1ccc(O)cc1)C[C](C)C	
",CHEMBL3430218,-6.96
137,CHEMBL3425620,"[C]1(C[C](C)C)NC(=O)[C](NC(=O)[C](NC(=O)[C]2CCCN2C(=O)[C](NC(=O)[C](C[C](C)C)NC1=O)C[C](C)C)Cc1c[nH]c2c1cccc2)C[C](C)C	
",CHEMBL3430218,-5.48
138,CHEMBL3425621,"[C]1(C[C](C)C)NC(=O)[C](C[C](C)C)NC(=O)[C](NC(=O)[C]2CCCN2C(=O)[C]2N(CCC2)C(=O)[C](C[C](C)C)NC1=O)Cc1c[nH]c2c1cccc2	
",CHEMBL3430218,-6.72
139,CHEMBL3425622,"[C]1(C[C](C)C)NC(=O)[C](NC(=O)[C](NC(=O)[C]2CCCN2C(=O)[C](NC(=O)[C](C[C](C)C)NC1=O)C[C](C)C)Cc1c[nH]c2c1cccc2)C[C](C)C	
",CHEMBL3430218,-6.55
140,CHEMBL3425623,"[C]1(C[C](C)C)NC(=O)[C](NC(=O)[C](NC(=O)[C]2CCCN2C(=O)[C](NC(=O)[C](C[C](C)C)NC1=O)C[C](C)C)Cc1c[nH]c2c1cccc2)C[C](C)C	
",CHEMBL3430218,-5.6
141,CHEMBL3425624,"[C]1(C[C](C)C)NC(=O)[C](NC(=O)[C](NC(=O)[C]2CCCN2C(=O)[C](NC(=O)[C](C[C](C)C)NC1=O)C[C](C)C)Cc1c[nH]c2c1cccc2)C[C](C)C	
",CHEMBL3430218,-5.78
142,CHEMBL3425625,"[C]1(C[C](C)C)NC(=O)[C](NC(=O)[C](NC(=O)[C]2CCCN2C(=O)[C](NC(=O)[C]([C](CC)C)NC1=O)[C](CC)C)Cc1c[nH]c2c1cccc2)[C](C)CC	
",CHEMBL3430218,-6.39
143,CHEMBL3425626,"C1NC(=O)[C](NC(=O)[C](NC(=O)[C]2CCCN2C(=O)[C](NC(=O)[C](Cc2ccccc2)NC1=O)C[C](C)C)Cc1ccc(O)cc1)C	
",CHEMBL3430218,-8
144,CHEMBL3425627,"C1NC(=O)[C](NC(=O)[C](NC(=O)[C]2CCCN2C(=O)[C](NC(=O)[C](Cc2ccccc2)NC1=O)C[C](C)C)Cc1ccc(O)cc1)C	
",CHEMBL3430218,-7.16
145,CHEMBL3425628,"C1NC(=O)[C](NC(=O)[C](NC(=O)[C](NC(=O)[C](NC(=O)[C](Cc2ccccc2)NC1=O)C[C](C)C)C[C](C)C)Cc1ccc(O)cc1)C	
",CHEMBL3430218,-7.7
146,CHEMBL3425629,"C1NC(=O)[C](NC(=O)[C](NC(=O)[C]2CCCN2C(=O)[C](NC(=O)[C](Cc2ccccc2)NC1=O)C[C](C)C)Cc1ccc(O)cc1)C	
",CHEMBL3430218,-8
147,CHEMBL3425630,"C1NC(=O)[C](NC(=O)[C](NC(=O)[C]2CCCN2C(=O)[C](NC(=O)[C](Cc2ccccc2)NC1=O)C[C](C)C)Cc1ccc(O)cc1)C	
",CHEMBL3430218,-8
148,CHEMBL3425631,"C1NC(=O)[C](NC(=O)[C](NC(=O)[C]2CCCN2C(=O)[C](NC(=O)[C](Cc2ccccc2)NC1=O)C[C](C)C)Cc1ccc(O)cc1)C	
",CHEMBL3430218,-7.52
149,CHEMBL3425632,"C1N(C)C(=O)[C]NC(=O)[C](N(C)C(=O)[C]2CCCN2C(=O)[C](NC(=O)[C](Cc2ccccc2)N(C)C1=O)C[C](C)C)Cc1ccc(O)cc1	
",CHEMBL3430218,-6.46
150,CHEMBL3425633,"C1NC(=O)[C]NC(=O)[C](N(C)C(=O)[C]2CCCN2C(=O)[C](N(C)C(=O)[C](Cc2ccccc2)N(C)C1=O)C[C](C)C)Cc1ccc(O)cc1	
",CHEMBL3430218,-6.8
151,CHEMBL3425634,"C1N(C)C(=O)[C](N(C)C(=O)[C](NC(=O)[C]2CCCN2C(=O)[C](NC(=O)[C](Cc2ccccc2)NC1=O)C[C](C)C)Cc1ccc(O)cc1)C	
",CHEMBL3430218,-7.16
152,CHEMBL3425635,CC(C)C[C@@H]1N(C)C(=O)[C@@H](CC(C)C)N(C)C(=O)[C@H](Cc2ccccc2)NC(=O)CN(C)C(=O)[C@@H](C)N(C)C(=O)[C@H](Cc3ccc(O)cc3)NC1=O,CHEMBL3430218,-6.03
153,CHEMBL3425636,"C1N(C)C(=O)[C]N(C)C(=O)[C](NC(=O)[C]2CCCN2C(=O)[C](NC(=O)[C](Cc2ccccc2)NC1=O)C[C](C)C)Cc1ccc(O)cc1	
",CHEMBL3430218,-7.52
154,CHEMBL3425637,CC(C)C[C@@H]1N(C)C(=O)[C@@H](Cc2ccccc2)NC(=O)CN(C)C(=O)[C@@H](C)N(C)C(=O)[C@H](Cc3ccc(O)cc3)NC(=O)[C@@H]4CCCN4C1=O,CHEMBL3430218,-6.85
155,CHEMBL3425639,"C1N(C)C(=O)[C]N(C)C(=O)[C](NC(=O)[C]2CCCN2C(=O)[C](NC(=O)[C](Cc2ccccc2)NC1=O)C[C](C)C)Cc1ccc(O)cc1	C[C@@](C)C
",CHEMBL3430218,-7
156,CHEMBL3425640,"[C]1(C[C](C)C)N(C)C(=O)[C](N(C)C(=O)[C](NC(=O)[C]2CCCN2C(=O)[C](NC(=O)[C](Cc2ccccc2)NC1=O)C[C](C)C)Cc1ccc(O)cc1)C[C](C)C	
",CHEMBL3430218,-6.39
157,CHEMBL3425642,"[C]1(C)NC(=O)[C](NC(=O)[C](NC(=O)[C](N(C)C(=O)[C](NC(=O)[C](C)N(C)C1=O)C)C)C)C	
",CHEMBL3430218,-8
158,CHEMBL3425643,CC(C)C[C@@H]1NC(=O)[C@@H](NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](Cc4ccccc4)NC(=O)[C@H](Cc5ccccc5)NC(=O)[C@@H]6CCCN6C1=O)C(C)C,CHEMBL3430218,-6.43
